nl,code
call the function import_string with argument backend.,import_string ( backend )
"if ImportError, renamed to e, exception is caught,",except ImportError as e :
"raise and exception InvalidCacheBackendError with string ""Could not find backend '%s': %s"" as argument, replace '%s' with backend and e, respectively.","raise InvalidCacheBackendError ( ""Could not find backend '%s': %s"" % ( backend , e ) )"
"remove 'LOCATION' key from kwargs dictionary and put it into location, or use an empty string if key doesnt exists.","location = kwargs . pop ( 'LOCATION' , '' )"
substitute kwargs for params.,params = kwargs
"if not,",else :
"call the function conf.copy, substitute it for params.",params = conf . copy ( )
call the function params.update with argument kwargs.,params . update ( kwargs )
remove 'BACKEND' key from params dictionary and put it into backend.,backend = params . pop ( 'BACKEND' )
"remove 'LOCATION' key from kwargs dictionary and put it into location, or use an empty string if key doesnt exists.","location = params . pop ( 'LOCATION' , '' )"
"call the import_string with argument backend, substitute it for backend_cls.",backend_cls = import_string ( backend )
"if ImportError, renamed to e, is caught,",except ImportError as e :
"aise and exception InvalidCacheBackendError with string ""Could not find backend '%s': %s"" as argument, replace '%s' with backend and e, respectively.","raise InvalidCacheBackendError ( ""Could not find backend '%s': %s"" % ( backend , e ) )"
"evaluate the function backend_cls with location and params as arguments, return the result.","return backend_cls ( location , params )"
derive the class CacheHandler from the object base class.,class CacheHandler ( object ) :
define the __init__ method with argument self.,def __init__ ( self ) :
"call the function local, substitute the result for self._caches.",self . _caches = local ( )
define the __getitem__ method with self and alias arguments.,"def __getitem__ ( self , alias ) :"
"try,",try :
return value under the alias key of self._caches.caches dictionary.,return self . _caches . caches [ alias ]
"except if AttributeError is caught,",except AttributeError :
self._caches.caches is an empty dictionary.,self . _caches . caches = { }
"except if KeyError exception is caught,",except KeyError :
do nothing.,pass
"if alias is not contained in setting.CACHES,",if alias not in settings . CACHES :
"raise and exception InvalidCacheBackendError with string ""Could not find config for '%s' in settings.CACHES"" as argument, replace '%s' with alias.","raise InvalidCacheBackendError ( ""Could not find config for '%s' in settings.CACHES"" % alias )"
call the function _create_cache with argument alias.,cache = _create_cache ( alias )
substitute cache for value under the alias key of self._caches.caches dictionary.,self . _caches . caches [ alias ] = cache
reuturn cache.,return cache
define the method all with argument self.,def all ( self ) :
"get attribute 'caches' from the self._caches if exists, otherwise get an empty dictionary, call the values method on the return value, return it.","return getattr ( self . _caches , 'caches' , { } ) . values ( )"
"call the CacheHandler function, substitute the result for caches.",caches = CacheHandler ( )
derive the class DefaultCacheProxy from the base class object.,class DefaultCacheProxy ( object ) :
define the method __getattr__ with self and name as arguments.,"def __getattr__ ( self , name ) :"
"get attribute name from value under the DEFAULT_CACHE_ALIAS key of caches dictionary, return it.","return getattr ( caches [ DEFAULT_CACHE_ALIAS ] , name )"
"define the method __setattr__ with self, name and value as arguments.","def __setattr__ ( self , name , value ) :"
"set the attribute name from value under the DEFAULT_CACHE_ALIAS key of caches dictionary to value, return it.","return setattr ( caches [ DEFAULT_CACHE_ALIAS ] , name , value )"
define the method __delattr__ with self and name as arguments.,"def __delattr__ ( self , name ) :"
delete the attribute name from the cache dictionary under the DEFAULT_CACHE_ALIAS key.,"return delattr ( caches [ DEFAULT_CACHE_ALIAS ] , name )"
define the method __contains__ with self and key as arguments.,"def __contains__ ( self , key ) :"
"if key if contained in value under the DEFAULT_CACHE_ALIAS key of caches dictionary, return boolean True, otherwise return False.",return key in caches [ DEFAULT_CACHE_ALIAS ]
define the method __eq__ with self and other as arguments.,"def __eq__ ( self , other ) :"
"if value under the DEFAULT_CACHE_ALIAS key of caches dictionary equals to other, return boolean True, otherwise return False.",return caches [ DEFAULT_CACHE_ALIAS ] == other
define the method __ne__ with self and other as arguments.,"def __ne__ ( self , other ) :"
"if value under the DEFAULT_CACHE_ALIAS key of caches dictionary is not equal to other, return boolean True, otherwise return False.",return caches [ DEFAULT_CACHE_ALIAS ] != other
"call the DefaultCacheProxy function, substitute it for cache.",cache = DefaultCacheProxy ( )
define the function close_caches with dictionary pair of elements kwargs as argument.,def close_caches ( ** kwargs ) :
for every cache in return value of the function caches.all.,for cache in caches . all ( ) :
call the function cache.close.,cache . close ( )
call the function signals.request_finished.connect with argument close_caches.,signals . request_finished . connect ( close_caches )
from __future__ import unicode_literals into default name space.,from __future__ import unicode_literals
import module time.,import time
import module warnings.,import warnings
from django.core.exceptions import ImproperlyConfigured and DjangoRuntimeWarning into default name space.,"from django . core . exceptions import ImproperlyConfigured , DjangoRuntimeWarning"
from django.utils.module_loading import import_string into default name space.,from django . utils . module_loading import import_string
derive class InvalidCacheBackendError from the ImproperlyConfigured base class.,class InvalidCacheBackendError ( ImproperlyConfigured ) :
do nothing.,pass
derive class CacheKeyWarning from the DjangoRuntimeWarning base class.,class CacheKeyWarning ( DjangoRuntimeWarning ) :
do nothing.,pass
DEFAULT_TIMEOUT is a instance of the class object.,DEFAULT_TIMEOUT = object ( )
MEMCACHE_MAX_KEY_LENGTH is integer 250.,MEMCACHE_MAX_KEY_LENGTH = 250
"define the function default_key_func with 3 arguments, key, key_prefix and version.","def default_key_func ( key , key_prefix , version ) :"
"convert key_prefix, version and key into strings, concatenate them respectively, with character ':' as delimiter, return the result.","return '%s:%s:%s' % ( key_prefix , version , key )"
define the function get_key_func with argument key_func.,def get_key_func ( key_func ) :
"if key_func is not of None type,",if key_func is not None :
"if key_function is callable object,",if callable ( key_func ) :
return key_func.,return key_func
"if not,",else :
"evaluate the function import_string with key_func as argument, return the result.",return import_string ( key_func )
return default_key_func.,return default_key_func
derive the class BaseCache from the object base class.,class BaseCache ( object ) :
define the initialization function __init__ with self class instance and params as arguments.,"def __init__ ( self , params ) :"
"call the params.get method with string 'TIMEOUT' and integer 300 as arguments, use the string 'timeout' and previous result as the arguments for the call to the params.get method, substitute the result for timeout.","timeout = params . get ( 'timeout' , params . get ( 'TIMEOUT' , 300 ) )"
"if timeout is not None,",if timeout is not None :
"try,",try :
convert timeout into an integer.,timeout = int ( timeout )
"if ValueError or TypeError exceptions occurred,","except ( ValueError , TypeError ) :"
timeout is integer 300.,timeout = 300
substitute timeout for self.default_timeout.,self . default_timeout = timeout
"call the params.get with string 'OPTIONS' and empty dictionary as arguments, substitute the result for options.","options = params . get ( 'OPTIONS' , { } )"
"call the options.get method with string 'MAX_ENTRIES' and integer 300 as arguments, use the string 'max_entries' and previous result as the arguments for the call to the params.get method, substitute the result for max_entries.","max_entries = params . get ( 'max_entries' , options . get ( 'MAX_ENTRIES' , 300 ) )"
"try,",try :
"convert max_entries into a string, substitute it for self._max_entries.",self . _max_entries = int ( max_entries )
"if ValueError or TypeError exceptions occurred,","except ( ValueError , TypeError ) :"
self._max_entries is integer 300.,self . _max_entries = 300
"call the options.get method with string 'CULL_FREQUENCY' and integer 3 as arguments, use the string 'cull_frequency' and previous result as the arguments for the call to the params.get method, substitute the result for cull_frequency.","cull_frequency = params . get ( 'cull_frequency' , options . get ( 'CULL_FREQUENCY' , 3 ) )"
"try,",try :
convert cull_frequency into an integer and substitute it for self._cull_frequency.,self . _cull_frequency = int ( cull_frequency )
"if ValueError or TypeError exceptions occurred,","except ( ValueError , TypeError ) :"
self._cull_frequency is integer 3.,self . _cull_frequency = 3
"call the params.get method with string 'KEY_PREFIX' and an empty string as arguments, substitute the result for self._key_prefix.","self . key_prefix = params . get ( 'KEY_PREFIX' , '' )"
"call the params.get method wit string 'VERSION' and integer 1 as arguments, substitute the result for self.version.","self . version = params . get ( 'VERSION' , 1 )"
"call the method params.get with 2 arguments, string 'KEY_FUNCTION' and None, use the result as the argument for the call to the function get_key_func, substitute the result for the self.key_func.","self . key_func = get_key_func ( params . get ( 'KEY_FUNCTION' , None ) )"
"define the method get_backend_timeout with self class instance and timeout set to DEFAULT_TIMEOUT as arguments,","def get_backend_timeout ( self , timeout = DEFAULT_TIMEOUT ) :"
"if timeout equals to DEFAULT_TIMEOUT,",if timeout == DEFAULT_TIMEOUT :
substitute self.default_timeout for timeout.,timeout = self . default_timeout
"else if timeout equals to integer 0,",elif timeout == 0 :
timeout is a integer -1.,timeout = - 1
"if timeouts is None return None, otherwise return the sum of function time.time return value and timeout.",return None if timeout is None else time . time ( ) + timeout
"define the function make_key with self class instance, key and version set to None as arguments.","def make_key ( self , key , version = None ) :"
"if version is None,",if version is None :
substitute self.version for version.,version = self . version
"call the method self.key_function with key, self.key_prefix and version as arguments, substitute the result for new_key.","new_key = self . key_func ( key , self . key_prefix , version )"
return new_key.,return new_key
"define the method add with 5 arguments, self, key, value, timeout defaulting to DEFAULT_TIMEOUT and version defaulting to None.","def add ( self , key , value , timeout = DEFAULT_TIMEOUT , version = None ) :"
docsring,""""""" Set a value in the cache if the key does not already exist. If timeout is given, that timeout will be used for the key; otherwise the default cache timeout will be used. Returns True if the value was stored, False otherwise. """""""
raise an exception of class NotImplementedError with string 'subclasses of BaseCache must provide an add() method' as argument.,raise NotImplementedError ( 'subclasses of BaseCache must provide an add() method' )
"define the method get with 4 arguments, self, key, default set to None and version set to None.","def get ( self , key , default = None , version = None ) :"
"raise an exception of class NotImplementedError, with string 'subclasses of BaseCache must provide a get() method' as argument.",raise NotImplementedError ( 'subclasses of BaseCache must provide a get() method' )
"define the method set with 5 arguments, self, key, value, timeout set to DEFAULT_TIMEOUT and version set to None.","def set ( self , key , value , timeout = DEFAULT_TIMEOUT , version = None ) :"
"raise an exception of class NotImplementedError, with string 'subclasses of BaseCache must provide a set() method' as argument.",raise NotImplementedError ( 'subclasses of BaseCache must provide a set() method' )
"define delete method with self class instance, key and version set to None, as arguments.","def delete ( self , key , version = None ) :"
"raise an exception of class NotImplementedError, with string 'subclasses of BaseCache must provide a delete() method' as argument.",raise NotImplementedError ( 'subclasses of BaseCache must provide a delete() method' )
"define the get_many method with self class instance, keys and version set to None as arguments.","def get_many ( self , keys , version = None ) :"
d is an empty dictionary.,d = { }
"for every k in keys,",for k in keys :
"call the self.get method with k and version set to version as arguments, substitute the result for val.","val = self . get ( k , version = version )"
"if val is not None,",if val is not None :
substitute val for value under the k key of dictionary d.,d [ k ] = val
return d.,return d
"define method has_key with self class instance, key and version set to None as arguments.","def has_key ( self , key , version = None ) :"
"call the self.get method with key and version set to version as arguments, return it if it is not None.","return self . get ( key , version = version ) is not None"
"define the method incr with 4 arguments, self class instance, key, delta defaulting to integer 1 and version defaulting to None.","def incr ( self , key , delta = 1 , version = None ) :"
"call the method self.get with key and version set to version as arguments, substitute the result for value.","value = self . get ( key , version = version )"
"if value is None,",if value is None :
"raise an exception of class ValueError, with string ""Key '%s' not found"" as argument, where '%s' is substituted for key.","raise ValueError ( ""Key '%s' not found"" % key )"
"add value and delta together, substitute the result for new_value.",new_value = value + delta
"call the self.set method with key, new_value and version set to version as arguments.","self . set ( key , new_value , version = version )"
return new_value.,return new_value
"define the method decr with arguments self, key, delta defaulting to integer 1 and version defaulting to None.","def decr ( self , key , delta = 1 , version = None ) :"
"call the self.incr method with key, negative delta and version set to version as arguments.","return self . incr ( key , - delta , version = version )"
define the private method __contains__ with self class instance and key as arguments.,"def __contains__ ( self , key ) :"
"evaluate the self.has_key method with key as argument, return the result.",return self . has_key ( key )
"define the method set_many with arguments, self, data, timeout defaulting to DEFAULT_TIMEOUT and version set to None.","def set_many ( self , data , timeout = DEFAULT_TIMEOUT , version = None ) :"
"for every key and value in data.items method return value,","for key , value in data . items ( ) :"
"call the method self.set with arguments key, value, timeout set to timeout, version set to version.","self . set ( key , value , timeout = timeout , version = version )"
"define the method delete_many with arguments self, keys and version defaulting to None.","def delete_many ( self , keys , version = None ) :"
"for every key in keys,",for key in keys :
call the delete method with key and version set to version as arguments.,"self . delete ( key , version = version )"
"define the method clear with self class instance as the argument,",def clear ( self ) :
raise an exception NotImplementedError with string 'subclasses of BaseCache must provide a clear() method' as argument.,raise NotImplementedError ( 'subclasses of BaseCache must provide a clear() method' )
define the method validate_key with self class instance and key as arguments.,"def validate_key ( self , key ) :"
"if length of key is greater than MEMCACHE_MAX_KEY_LENGTH,",if len ( key ) > MEMCACHE_MAX_KEY_LENGTH :
"substitute '%s' in string 'Cache key will cause errors if used with memcached: %s (longer than %s)' with key,","warnings . warn ( 'Cache key will cause errors if used with memcached: ' '%s (longer than %s)' % ( key , MEMCACHE_MAX_KEY_LENGTH ) , CacheKeyWarning )"
"and MEMCACHE_MAX_KEY_LENGTH, call the function warnings.warn with previous string and CacheKeyWarning as arguments. for every char in key,",for char in key :
"if ascii value of char is smaller than integer 33 or is equal to integer 127,",if ord ( char ) < 33 or ord ( char ) == 127 :
"substitute '%r' in string 'Cache key contains characters that will cause errors if used with memcached: %r' with key,","warnings . warn ( 'Cache key contains characters that will cause ' 'errors if used with memcached: %r' % key , CacheKeyWarning )"
"call the function warnings.warn with previous string and CacheKeyWarning as arguments. define the method incr_version with 4 arguments, self, key, delta defaulting to integer 1 and version defaulting to None.","def incr_version ( self , key , delta = 1 , version = None ) :"
"if version is None,",if version is None :
substitute self.version for version.,version = self . version
"call the self.get method with arguments key and version set to version, substitute the result for value.","value = self . get ( key , version = version )"
"if value is None,",if value is None :
"raise an exception of the class ValueError with string ""Key '%s' not found"" as argument, '%s' is substituted for key.","raise ValueError ( ""Key '%s' not found"" % key )"
"call the method self.set with key, value, version incremented by delta, as arguments.","self . set ( key , value , version = version + delta )"
call the self.delete method with key and version set to version as arguments.,"self . delete ( key , version = version )"
"sum version and delta together, return the result.",return version + delta
"define the method decr_version with 4 arguments, self, key, delta defaulting to integer 1 and version defaulting to None.","def decr_version ( self , key , delta = 1 , version = None ) :"
"call the method self.incr_version with key, negative delta and version as arguments.","return self . incr_version ( key , - delta , version )"
"define the close method with 2 arguments, self and dictionary of argument pairs kwargs.","def close ( self , ** kwargs ) :"
docstirng,"""""""Close the cache connection"""""""
do nothing.,pass
import module base64.,import base64
from datetime import datetime into default name space.,from datetime import datetime
"try,",try :
"from django.utils.six.moves import cPickle as pickle, into default namespace.",from django . utils . six . moves import cPickle as pickle
"if ImportError exception occurred,",except ImportError :
import pickle.,import pickle
from django.conf import settings into default name space.,from django . conf import settings
from django.core.cache.backends.base import BaseCache and DEFAULT_TIMEOUT into default name space.,"from django . core . cache . backends . base import BaseCache , DEFAULT_TIMEOUT"
"from django.db import connections, transaction, router and DatabaseError into default name space.","from django . db import connections , transaction , router , DatabaseError"
from django.db.backends.utils import typecast_timestamp into default name space.,from django . db . backends . utils import typecast_timestamp
from django.utils import timezone and six into default name space.,"from django . utils import timezone , six"
from django.utils.encoding import force_bytes into default name space.,from django . utils . encoding import force_bytes
derive class Options from the base class object.,class Options ( object ) :
define the initialization method __init__ with self class instance and table as arguments.,"def __init__ ( self , table ) :"
substitute table for self.db_table.,self . db_table = table
self.app_label is a string 'django_cache'.,self . app_label = 'django_cache'
self.model_name is a string 'cacheentry'.,self . model_name = 'cacheentry'
self.verbose_name is a string 'cache entry'.,self . verbose_name = 'cache entry'
self.verbose_name_plural is a string 'cache entries'.,self . verbose_name_plural = 'cache entries'
self.object_name is a string 'CacheEntry'.,self . object_name = 'CacheEntry'
self.abstract is boolean False.,self . abstract = False
self.managed is boolean True.,self . managed = True
self.proxy is boolean False.,self . proxy = False
derive class BaseDatabaseCache from BaseCache base class.,class BaseDatabaseCache ( BaseCache ) :
"define the initialization method __init__ with self, table and params as arguments.","def __init__ ( self , table , params ) :"
call the BaseCache.__init__ method with self class instance and params as the arguments.,"BaseCache . __init__ ( self , params )"
substitute table for self._table.,self . _table = table
derive CacheEntry class from the object base class.,class CacheEntry ( object ) :
_meta is class Options class instance initialized with table argument.,_meta = Options ( table )
substitute CacheEntry for self.cache_model_class.,self . cache_model_class = CacheEntry
derive DatabaseCache from the BaseDatabaseCache base class.,class DatabaseCache ( BaseDatabaseCache ) :
"define the method get with 4 arguments, self class instance, key, default set to None and version set to None.","def get ( self , key , default = None , version = None ) :"
"call the method self.make_key Whit key and version set to version as arguments, substitute the result for key.","key = self . make_key ( key , version = version )"
call the method self.validate_key with argument key.,self . validate_key ( key )
"call the method router.db_for_read with self.cache_model_class as argument, substitute the result for db.",db = router . db_for_read ( self . cache_model_class )
"call the ops.quote_name method with argument self._table on the value under the db key of connections dictionary, substitute the result for table.",table = connections [ db ] . ops . quote_name ( self . _table )
"call the cursor method on the value under the db key of connections dictionary, preform following with return value named cursor,",with connections [ db ] . cursor ( ) as cursor :
"call the method cursor.execute with string ""SELECT cache_key, value, expires FROM %s WHERE cache_key = %%s"" as argument,","cursor . execute ( ""SELECT cache_key, value, expires FROM %s "" ""WHERE cache_key = %%s"" % table , [ key ] )"
"substitute the '%s' with table and list containing key, respectively. call the cursor.fetchone method, substitute the result for row.",row = cursor . fetchone ( )
"if row is None,",if row is None :
return default.,return default
"call the timezone.now function, substitute the result for now.",now = timezone . now ( )
substitute third element of row list for expires.,expires = row [ 2 ]
"if features.needs_datetime_string_cast field of the object represented stored under the db key of connections dictionary is true,","if connections [ db ] . features . needs_datetime_string_cast and not isinstance ( expires , datetime ) :"
"and expires is not an instance of datetime. convert expires to a string, use it as argument for the call to the function typecast_timestamp, substitute the result for expires.",expires = typecast_timestamp ( str ( expires ) )
"if expires is lesser than now,",if expires < now :
"call the method router.db_for_write with argument self.cache_model_class, substitute the result for db.",db = router . db_for_write ( self . cache_model_class )
"call the cursor method on the value under the db key of connections dictionary, preform following with return value named cursor,",with connections [ db ] . cursor ( ) as cursor :
"call the method cursor.execute with string ""DELETE FROM %s WHERE cache_key = %%s"" as argument,","cursor . execute ( ""DELETE FROM %s "" ""WHERE cache_key = %%s"" % table , [ key ] )"
"substitute the '%s' with table and list containing key, respectively. return default.",return default
"call the method ops.process_clob with second element of row as argument, on the object under the db key of connections dictionary, substitute the result for value.",value = connections [ db ] . ops . process_clob ( row [ 1 ] )
"call the function force_bytes with argument value, use the result as an argument for the call to the method base64.b64decode,",return pickle . loads ( base64 . b64decode ( force_bytes ( value ) ) )
"use the result as the argument for the function call to the pickle.loads, return the result. define the method set with 5 arguments, self class instance, key, value, timeout set to DEFAULT_TIMEOUT and version set to None.","def set ( self , key , value , timeout = DEFAULT_TIMEOUT , version = None ) :"
"call the method self.make_key with key and version set to version as arguments, substitute the result for key.","key = self . make_key ( key , version = version )"
call the method self.validate_key with key as argument.,self . validate_key ( key )
"call the method self._base_set with string 'set', key, value and timeout as arguments.","self . _base_set ( 'set' , key , value , timeout )"
"define the method add with 5 arguments, self class instance, key, value, timeout set to DEFAULT_TIMEOUT and version set to None.","def add ( self , key , value , timeout = DEFAULT_TIMEOUT , version = None ) :"
"call the method self.make_key with key and version set to version as arguments, substitute the result for key.","key = self . make_key ( key , version = version )"
call the method self.validate_key with key as argument.,self . validate_key ( key )
"call the method self._base_set with string 'add', key, value and timeout as arguments, return the result.","return self . _base_set ( 'add' , key , value , timeout )"
"define the protected method _base_set with 4 arguments, self class instance, key, value and timeout set to DEFAULT_TIMEOUT.","def _base_set ( self , mode , key , value , timeout = DEFAULT_TIMEOUT ) :"
"call the method self.get_backend_timeout with argument timeout, substitute the result for timeout.",timeout = self . get_backend_timeout ( timeout )
"call the method router.db_for_write with argument self.cache_model_class, substitute the result for db.",db = router . db_for_write ( self . cache_model_class )
"call the ops.quote_name method with argument self._table on the object under the db key of connections dictionary, substitute the result for table.",table = connections [ db ] . ops . quote_name ( self . _table )
"call the cursor method on the value under the db key of connections dictionary, preform following with return value named cursor,",with connections [ db ] . cursor ( ) as cursor :
"call the method cursor.execute with string ""SELECT COUNT(*) FROM %s"" as argument, substitute the '%s' with table.","cursor . execute ( ""SELECT COUNT(*) FROM %s"" % table )"
"fetch one record from the database cursor points at, substitute the first element of return value for num.",num = cursor . fetchone ( ) [ 0 ]
"call the timezone.now function, substitute the result for now.",now = timezone . now ( )
"call the function now.replace with microseconds set to integer 0, substitute the result for now.",now = now . replace ( microsecond = 0 )
"if timeout is None,",if timeout is None :
substitute the datetime.max for exp.,exp = datetime . max
"otherwise is settings.USE_TI is true,",elif settings . USE_TZ :
"call the function datetime.utcfromtimestamp with argument timeout, substitute it for exp.",exp = datetime . utcfromtimestamp ( timeout )
"if not,",else :
"call the function datetime.fromtimestamp with argument timeout, substitute it for exp.",exp = datetime . fromtimestamp ( timeout )
"call the exp.replace with microsecond set to integer 0, substitute the result for exp.",exp = exp . replace ( microsecond = 0 )
"if num is greater than self._max_entries,",if num > self . _max_entries :
"call the method self._cull with db, cursor and now as arguments.","self . _cull ( db , cursor , now )"
"call the method pickle.dumps with value and pickle.HIGHEST_PROTOCOL as arguments, substitute it for pickled.","pickled = pickle . dumps ( value , pickle . HIGHEST_PROTOCOL )"
"call the method base64.b64encode with argument pickled, substitute the result for b64encoded.",b64encoded = base64 . b64encode ( pickled )
"if six.PY3 is true,",if six . PY3 :
"call the method b64encoded.decode with string 'latin1' as argument, substitute the result for b64encoded.",b64encoded = b64encoded . decode ( 'latin1' )
"try,",try :
"with return value of the function transaction.atomic with using set to db as arguments, perform the following,",with transaction . atomic ( using = db ) :
"call the method cursor.execute with string ""SELECT cache_key, expires FROM %s WHERE cache_key = %%s"" as argument,","cursor . execute ( ""SELECT cache_key, expires FROM %s "" ""WHERE cache_key = %%s"" % table , [ key ] )"
"substitute the '%s' with table and list containing key, respectively. fetch one entry from the database that cursor points at, substitute it for the result.",result = cursor . fetchone ( )
"if result is true,",if result :
substitute the second element of result for current_expires.,current_expires = result [ 1 ]
if features.needs_datetime_string_cast field of object under the db key of connections dictionary is true and current_expires is not an instance of datetime object.,"if ( connections [ db ] . features . needs_datetime_string_cast and not isinstance ( current_expires , datetime ) ) :"
"convert current_expires to a string, use it as the argument for the call to the function typecast_timestamp, substitute the result for current_expires.",current_expires = typecast_timestamp ( str ( current_expires ) )
"on the object under the db key of connections dictionary call the method ops.value_to_db_datetime with argument exp, substitute the result for the exp.",exp = connections [ db ] . ops . value_to_db_datetime ( exp )
"if mode equals to string 'add' and current_expires is lesser than now, or mode equals to string 'set', and result is true,",if result and ( mode == 'set' or ( mode == 'add' and current_expires < now ) ) :
"call the method cursor.execute with string ""UPDATE %s SET value = %%s, expires = %%s WHERE cache_key = %%s"" as argument,","cursor . execute ( ""UPDATE %s SET value = %%s, expires = %%s "" ""WHERE cache_key = %%s"" % table , [ b64encoded , exp , key ] )"
"substitute the '%s' with table and 3 elements of a list: b64encoded, exp and key, respectively. if not,",else :
"call the method cursor.execute with string ""INSERT INTO %s (cache_key, value, expires) VALUES (%%s, %%s, %%s)"",","cursor . execute ( ""INSERT INTO %s (cache_key, value, expires) "" ""VALUES (%%s, %%s, %%s)"" % table , [ key , b64encoded , exp ] )"
"substitute the '%s' with table and 3 elements of a list: b64encoded, exp and key, respectively. if DatabaseError exception is caught,",except DatabaseError :
return boolean False.,return False
"if not,",else :
return boolean True.,return True
"define the method delete with self class instance, key and version set to None as arguments.","def delete ( self , key , version = None ) :"
"call the method self.make_key with key and version set to version as arguments, substitute the result for key.","key = self . make_key ( key , version = version )"
call the method self.validate_key with argument key.,self . validate_key ( key )
"call the method router.db_for_write with argument self.cache_model_class, substitute the result for db.",db = router . db_for_write ( self . cache_model_class )
"call the ops.quote_name method with argument self._table on the object under the db key of connections dictionary, substitute the result for table.",table = connections [ db ] . ops . quote_name ( self . _table )
"call the cursor method on the value under the db key of connections dictionary, preform following with return value named cursor,",with connections [ db ] . cursor ( ) as cursor :
"call the method cursor.execute with string ""DELETE FROM %s WHERE cache_key = %%s"" as argument,","cursor . execute ( ""DELETE FROM %s WHERE cache_key = %%s"" % table , [ key ] )"
"substitute the '%s' with table and list containing key, respectively. define the method has_key with self class instance, key and version defaulting to None as arguments.","def has_key ( self , key , version = None ) :"
"call the self.make_key with key and version set to version as arguments, substitute the result for key.","key = self . make_key ( key , version = version )"
call the self.validate_key method with argument key.,self . validate_key ( key )
"call the method router.db_for_write with argument self.cache_model_class, substitute the result for db.",db = router . db_for_read ( self . cache_model_class )
"call the ops.quote_name method with argument self._table on the object under the db key of connections dictionary, substitute the result for table.",table = connections [ db ] . ops . quote_name ( self . _table )
"if settings.USE_TZ is true,",if settings . USE_TZ :
"call the function datetime.utcnow, substitute the result for now.",now = datetime . utcnow ( )
"if not,",else :
"call the function datetime.now, substitute the result to now.",now = datetime . now ( )
"call the method now.replace with the argument microsecond set to integer 0, substitute the result for now.",now = now . replace ( microsecond = 0 )
"call the cursor method on the value under the db key of connections dictionary, preform following with return value named cursor,",with connections [ db ] . cursor ( ) as cursor :
"call the method cursor.execute with string ""SELECT cache_key FROM %s WHERE cache_key = %%s and expires > %%s"" as argument,","cursor . execute ( ""SELECT cache_key FROM %s "" ""WHERE cache_key = %%s and expires > %%s"" % table , [ key , connections [ db ] . ops . value_to_db_datetime ( now ) ] )"
"substitute the '%s' with table and list containing return value of the method call ops.value_to_db_datetime with argument now on the object under the db key of connections dictionary, respectively. if exists return next entry from the database that cursor points at.",return cursor . fetchone ( ) is not None
"define the protected method _cull with self class instance, db, cursor and now as arguments.","def _cull ( self , db , cursor , now ) :"
if self._cull_frequency equals to integer 0.,if self . _cull_frequency == 0 :
call the self.clear method.,self . clear ( )
"if not,",else :
"call the method now.replace with argument tzinfo set to None, substitute it for now.",now = now . replace ( tzinfo = None )
"call the ops.quote_name method with argument self._table on the object under the db key of connections dictionary, substitute the result for table.",table = connections [ db ] . ops . quote_name ( self . _table )
"call the method cursor.execute with string ""DELETE FROM %s WHERE expires < %%s"" as argument,","cursor . execute ( ""DELETE FROM %s WHERE expires < %%s"" % table , [ connections [ db ] . ops . value_to_db_datetime ( now ) ] )"
